"","year","state","state_po","state_fips","pres_percent_vote","vote_spread","incumbent_party","potus_run_reelect","house_percent_vote","mean_senate_percent_vote","totalvotes","per_capita_personal_income","population","yoy_per_cap_income_change","yoy_pop_change","zscore_pcpi","exports","gdp","personal_consumption_exp","exports_YOY","gdp_YOY","personal_consumption_exp_YOY","exports_zscore","gdp_zscore","personal_consumption_exp_zscore","per_hs_degree","per_bachelor_degree","black_fem_pop","white_fem_pop","fem_pop","white_pop","black_pop","per_white","per_black","per_fem","per_white_fem","per_black_fem","poll_trend","hawaii_dummy","lag_pres_vote","lag_vote_spread","lag_participation","change_lag_pres_vote","change_house_percent_vote","change_poll_trend","pres_win"
"323",1980,"Nevada","NV",32,27.3566633291204,-36.2551909787765,0,1,72.4245355719884,NA,243692,11951,810215,1.49499624718539,1.25260697285038,NA,406,6688.8,4227.4,1.11080711354309,0.983762795623014,0.989258886574778,0.0720435711431341,-0.00765300659896808,0.000357741477735234,75.5,14.4,25743,358556,400034,728560,51708,0.899218108773597,0.0638200971347112,0.493738081867159,0.442544262942552,0.0317730478946946,25.2051305333333,0,45.8098040381224,-4.35613941231251,0.312103929513947,NA,NA,NA,0
"324",1984,"Nevada","NV",32,32.4193451401932,-34.3506050219831,1,1,48.7738815407225,48.7968795858731,282717,14760,924921,1.23504309262823,1.14157476719142,0.348091310578755,402.5,7686.1,4873.2,1.09108159392789,1.0690134772389,1.04642473695512,0.0414433470195499,0.170374905363505,0.123693374754159,75.5,14.4,29331,405203,455489,825683,59383,0.892706512231855,0.0642033211485089,0.492462599508499,0.438094712953863,0.0317118975566562,NA,0,27.3566633291204,-36.2551909787765,0.300774485784637,-0.402820773772478,-0.326555825929428,NA,0
"325",1988,"Nevada","NV",32,38.6841253974406,-21.3625620386264,1,0,47.1420407496822,49.9958004367546,343133,18458,1075023,1.25054200542005,1.16228629255904,0.370994446418402,575.6,8891.4,5745.9,1.14775672981057,1.04192837723821,1.03647383516424,0.136437086255372,0.121462211013577,0.0986514713126748,75.5,14.4,34359,466752,528330,953437,69915,0.886899164017886,0.065035817838316,0.491459252499714,0.434178617573764,0.0319611766445927,30.838155,0,32.4193451401932,-34.3506050219831,0.305666105537662,0.185062109006684,-0.0334572672810111,NA,0
"326",1992,"Nevada","NV",32,37.3575499982225,2.63075774513251,1,1,46.0712129584969,49.9958004367546,506318,22554,1351367,1.22190919926319,1.25705868618625,0.432251246243488,797.2,9733,6269.7,1.06364242828552,1.03666070211316,1.03610854045479,0.099051595043515,0.0836408305751975,0.0763181819169028,78.8,15.3,45549,570013,653382,1166525,92583,0.863218503929725,0.0685106266469434,0.483497081103801,0.421804735501163,0.033705869686029,35.0362182727273,0,38.6841253974406,-21.3625620386264,0.319186659262174,0.193242035894193,-0.0227149222680289,0.136132115320364,1
"327",1996,"Nevada","NV",32,43.9334968844165,1.01878396395271,0,1,36.6188157905232,50.9300186581873,464279,26667,1666320,1.18236233040702,1.23306252113601,0.447956253676389,1051,11097,7176.8,1.05152576288144,1.04049657293415,1.03342117010094,0.130716174788789,0.140674831444803,0.115175720522362,78.8,15.3,58607,674649,784033,1382393,117800,0.829608358538576,0.0706947044985357,0.470517667674876,0.404873613711652,0.0351715156752605,42.9329168,0,37.3575499982225,2.63075774513251,0.374670981310036,-0.0342925007503453,-0.205169270808842,0.225386725981772,1
"328",2000,"Nevada","NV",32,45.9412627620088,-3.54382648590641,0,0,49.2388969593126,47.8637831984289,609426,31871,2018741,1.19514756065549,1.21149659129099,0.527899104011917,1408.8,13178.4,8687.5,1.09506412747765,1.04075056861259,1.0504074674147,0.223182069423098,0.19752397708255,0.210351988908463,80.7,18.2,138835,1645701,1970517,3380460,281823,0.837269367392845,0.0698016734192251,0.488055921983058,0.815211560076305,0.0687730620223199,41.2134824,0,43.9334968844165,1.01878396395271,0.278625354073647,0.176027252496669,0.344633787203338,-0.0400493264412914,0
"329",2004,"Nevada","NV",32,47.878040518957,-2.59165102635408,1,1,34.105604629244,47.8637831984289,829587,35163,2346222,1.10329139342976,1.16222041361423,0.428543119488498,1434,14465,9771.1,1.09616266625898,1.03431509249129,1.03335554215976,0.176483466521454,0.173369560119622,0.164663291609104,80.7,18.2,88299,935772,1156586,1915799,178908,0.816546345571732,0.0762536537463207,0.492956761977341,0.398842053309533,0.0376345460915463,44.7809611333333,0,45.9412627620088,-3.54382648590641,0.301884194158636,0.0457001154011149,-0.307344259611942,0.0865609631991044,0
"330",2008,"Nevada","NV",32,55.1466759243187,12.4925608153346,1,0,50.0809808864232,40.989954889696,967848,38734,2653630,1.10155561243352,1.13102255455792,0.379319554525194,1961.2,15667,10581.9,1.06465447044134,1.00001914889543,0.99430584918957,0.274803317075057,0.04201143236052,0.0200164874447234,80.7,18.2,109939,1022278,1310601,2092646,222366,0.78859750605774,0.0837969121542943,0.493889879146678,0.385237580220302,0.0414296642712059,48.9247030666667,0,47.878040518957,-2.59165102635408,0.353584187685564,0.0421576952941268,0.468409120167922,0.0925335640071575,1
"331",2012,"Nevada","NV",32,52.3562494704006,6.68093382913693,0,1,45.224875780463,50.2887425076656,1014918,39659,2743996,1.02388082821294,1.03405373017339,0.197076030772578,2203.6,16220.7,11007.5,1.03300206262891,1.02528333133174,1.01302227130499,0.181206544592703,0.116914772309842,0.0793334315149591,84.8855996983661,22.372465694035,120863,1038516,1361288,2117644,243918,0.771737276584951,0.0888915289963979,0.496096933085908,0.378468481732481,0.0440463470063367,49.5927541333333,0,55.1466759243187,12.4925608153346,0.364726054498932,0.151815640877861,-0.0969650557957968,0.0136546780009346,1
"332",2016,"Nevada","NV",32,47.917823678119,2.41712836051662,0,0,38.7004635282288,50.2887425076656,1125385,45001,2917563,1.13469830303336,1.06325337208946,0.422035720575329,2406.6,17764.4,12304.5,1.01655824955648,1.01592130847535,1.02612749349523,0.0455677250535976,0.122706902908096,0.181085328968008,86.0473687089988,23.4642720368445,140932,1079282,1452754,2197650,280959,0.753248515970349,0.0962992058783306,0.49793406346324,0.369925859355908,0.0483046981333394,44.9985253333333,0,52.3562494704006,6.68093382913693,0.369868614968827,-0.0506000843595289,-0.144266007139652,-0.0926391139247504,1
