"","state","year","pres_win","pres_percent_vote","poll_trend","lag_pres_vote","lag_participation","per_white","change_house_percent_vote","lag_vote_spread","lower_pred","pred","upper_pred","prob_win"
"224","Massachusetts",1992,1,47.54,42.5677440666667,53.2290514930677,0.44026897735328,0.907307186331269,-0.130985000850241,7.8539927628408,43.2,48.23,53.26,62.81
"225","Massachusetts",1996,1,61.47,57.9176037333333,47.5414109279278,0.460075946608138,0.889260999948865,0.176828054512146,18.5170229703382,54.77,59.84,64.91,100
"226","Massachusetts",2000,1,59.13,54.6051087333333,61.4720987115381,0.413682837963182,0.881514671038235,0.0878173440165157,33.3841066881964,54.42,59.45,64.47,100
"227","Massachusetts",2004,1,61.62,58.8243122,59.1261260206791,0.429793947717252,0.865690851664174,-0.0820125844166402,26.9932230270772,57.28,62.31,67.33,100
"228","Massachusetts",2008,1,61.36,57.1788296,61.6166602048537,0.456538788615159,0.850370236855436,0.0566329623119136,25.0282583336038,56.19,61.2,66.22,100
"229","Massachusetts",2012,1,60.34,56.7171564,61.3631991028023,0.47967395721759,0.834333007404317,-0.174483457160453,25.6282398134705,55.18,60.2,65.23,100
"230","Massachusetts",2016,1,59.05,55.962348,60.3383083202165,0.477891882116252,0.817195682987651,0.123514173515687,23.0191860048816,53.97,58.99,64.01,99.99
"231","Massachusetts",2020,NA,NA,66.56147375,59.0500650966713,0.495166340153186,0.805826997826479,0.159178746647034,26.7638623058161,62.53,67.61,72.68,100
"232","Michigan",1980,0,42.5,30.4791558,46.4650741183977,0.400504262087302,0.859197392095318,NA,-5.39567695168406,NA,NA,NA,NA
"233","Michigan",1984,0,40.24,NA,42.4974135009496,0.422419384341487,0.853637799584373,0.0459643676694151,-6.4887683916388,NA,NA,NA,NA
"234","Michigan",1988,0,45.67,42.3333336,40.2360759437067,0.420098052324483,0.846654947568898,-0.0299288661896511,-18.9899512265438,40.89,45.91,50.92,14.78
"235","Michigan",1992,1,43.77,40.7248602666667,45.6720783459334,0.398043198515253,0.0115931265372692,-0.0584101996711193,-7.89561543054914,38.46,44.56,50.65,100
"236","Michigan",1996,1,51.69,47.7729812,43.7736874843994,0.450959350948643,0.011894889095771,-0.130323668607539,7.39803956934249,43.47,49.53,55.59,100
"237","Michigan",2000,1,51.28,44.2902394666667,51.6948205746972,0.394403526309237,0.817970549965084,0.105104623259975,13.2102262393591,43.23,48.24,53.25,51.66
"238","Michigan",2004,1,51.23,48.8713667333333,51.2797988706913,0.425272269642148,0.811989679090113,-0.0549221160214736,5.1335841385507,47.03,52.02,57.02,94.93
"239","Michigan",2008,1,57.43,53.2559146666667,51.2307067290565,0.481263093199964,0.806797381573274,0.0695392277744436,3.4186481712463,50.7,55.71,60.73,99.87
"240","Michigan",2012,1,54.21,49.2270723333333,57.4332473074595,0.502830181376308,0.801107390060467,-0.160264143656691,16.4735416455068,47.8,52.82,57.85,98.7
"241","Michigan",2016,0,47.27,45.560382,54.2082042105188,0.478012699621962,0.795726596996293,0.109985453821133,9.49728818309853,43.48,48.5,53.52,62.92
"242","Michigan",2020,NA,NA,50.62687875,47.2745309508668,0.482312422071055,0.792197885681151,0.0647275511408365,-0.22303326912931,46.01,51.04,56.07,95.25
"243","Minnesota",1980,1,46.5,34.5074397333333,54.8963014588721,0.492829705894098,0.970257896111571,NA,12.8745581253901,NA,NA,NA,NA
"244","Minnesota",1984,1,49.72,45.7103636,46.5015624421273,0.502302927992711,0.961087657995855,0.06802594979452,3.94290019669421,45.53,50.57,55.61,94.37
"245","Minnesota",1988,1,52.91,47.2824034,49.7188465632884,0.50134617567773,0.952417540954568,0.09259615564955,0.180431375389851,47.43,52.47,57.51,98.89
"246","Minnesota",1992,1,43.48,43.1763866666667,52.9128334263326,0.488061090791946,0.939141003636467,NA,7.017107101808,NA,NA,NA,NA
"247","Minnesota",1996,1,51.1,52.7262342,43.4846512784781,0.522280145885774,0.923392053219862,NA,11.633818125444,NA,NA,NA,NA
"248","Minnesota",2008,1,54.06,52.1150893333333,51.1007565820081,0.465218010336471,0.877494035659874,NA,16.1453268700638,NA,NA,NA,NA
"249","Minnesota",2016,1,46.45,46.9933666666667,54.0602926982798,0.554671053158194,0.84840705996874,-0.125419936952444,10.2373616541408,44.77,49.81,54.86,89.56
"250","Minnesota",2020,NA,NA,50.34114125,46.4450339617669,0.533209940565777,0.837631072382028,NA,1.51984085748962,NA,NA,NA,NA
"251","Mississippi",1980,0,48.14,36.9354278,49.6270123244706,0.316167720847097,0.642486047434367,NA,1.88485014120434,NA,NA,NA,NA
"252","Mississippi",1984,0,37.42,NA,48.1391645640594,0.353120488234861,0.639413154035235,-0.0365533472846483,-1.32413793103448,NA,NA,NA,NA
"253","Mississippi",1988,0,39.07,35.9217172,37.4232815926826,0.365044473484447,0.638167937747956,0.0487947385726158,-24.4590395960489,34.49,39.5,44.51,0.05
"254","Mississippi",1992,0,40.77,35.8253361333333,39.0671445916221,0.361008142696976,0.628529797609056,0.347660031297327,-20.8226922032319,34.36,39.38,44.4,0.06
"255","Mississippi",1996,0,44.08,39.1717619333333,40.7680641438674,0.374196850747827,0.61804311002025,-0.296379187718584,-8.91583052639406,36.74,41.75,46.75,0.35
"256","Mississippi",2000,0,40.7,38.6893276666667,44.0811002207288,0.32526541209606,0.618654710283452,0.0202968970380903,-5.1256520897638,36.6,41.61,46.61,0.31
"257","Mississippi",2004,0,40.16,38.6709365333333,40.6981001504752,0.349038198565978,0.614607772212627,-0.18968339935557,-16.9214149493454,35.57,40.58,45.58,0.13
"258","Mississippi",2008,0,43,41.0424809333333,40.1611125928213,0.394537921294838,0.605721000635727,0.254522762007008,-18.8532615561701,37.44,42.45,47.46,0.65
"259","Mississippi",2012,0,43.79,NA,43.0015544262384,0.437567804665572,0.599968965914788,-0.24966395195633,-13.174634554779,NA,NA,NA,NA
"260","Mississippi",2016,0,40.11,41.6305433333333,43.7893595439893,0.430852304565697,0.593504282886727,-0.174179741728269,-11.4964871995918,37.67,42.68,47.69,0.79
"261","Mississippi",2020,NA,NA,39.42806,40.1147882717841,0.404746350158537,0.590723448321976,0.156419298175052,-17.8262498170515,34.52,39.55,44.58,0.08
"262","Missouri",1980,0,44.35,40.2759946,51.1049856674857,0.405012569570072,0.88795046532219,NA,3.63144963144963,NA,NA,NA,NA
